"RespondentId"	"student_type"	"department"	"tuition_covered"	"stipend_type"	"contract_position"	"funding_source"	"contract_term"	"stipend_amt"	"addtl_funding"	"addtl_amt"	"total_funding"	"Program"	"Level"	"College"	"dist"	"program_type"
"102"	96319063	"Doctorate"	"Exercise Science"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"12-month"	20000	"No"	0	20000	"Exercise Science"	"Doctorate"	"Public Health"	0	"Natural Science"
"103"	96357018	"Doctorate"	"Exercise Science"	"Yes"	"Yes"	"Graduate Research Assistant"	"Both"	"12-month"	25000	"No"	0	25000	"Exercise Science"	"Doctorate"	"Public Health"	0	"Natural Science"
"104"	96304238	"Doctorate"	"Exercise Science PdD"	"Yes"	"Yes"	"Graduate Research Assistant"	"Both"	"9-month"	20000	"No"	0	20000	"Exercise Science"	"Doctorate"	"Public Health"	0.0666666666666668	"Natural Science"
"105"	96300251	"Doctorate"	"Geography"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"9-month"	15500	"No"	0	15500	"Geography"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"106"	96300272	"Doctorate"	"Geography"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"Semester-based"	15000	"Yes"	0	15000	"Geography"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"107"	96300554	"Doctorate"	"Health Promotion"	"Partially"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"Semester-based"	7200	"No"	0	7200	"Health Promotion, Education, and Behavior"	"Doctorate"	"Public Health"	0.203252032520325	"Social Science"
"108"	96301086	"Doctorate"	"Health Promotion"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"9-month"	16000	"No"	0	16000	"Health Promotion, Education, and Behavior"	"Doctorate"	"Public Health"	0.203252032520325	"Social Science"
"109"	96301390	"Doctorate"	"Health Promotion"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"9-month"	34000	"Yes"	10000	44000	"Health Promotion, Education, and Behavior"	"Doctorate"	"Public Health"	0.203252032520325	"Social Science"
"110"	96301449	"Doctorate"	"Health Promotion"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"9-month"	16000	"No"	0	16000	"Health Promotion, Education, and Behavior"	"Doctorate"	"Public Health"	0.203252032520325	"Social Science"
"111"	96301842	"Doctorate"	"Health Promotion"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"9-month"	13000	"No"	0	13000	"Health Promotion, Education, and Behavior"	"Doctorate"	"Public Health"	0.203252032520325	"Social Science"
